,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
524,Cama king,moveis,912.15,49.2562555351,20/08/2022,Mariana Ferreira,ES,4,boleto,1,-19.19,-40.34
525,Bicicleta,esporte e lazer,600.61,29.565114689,24/09/2021,Pedro Gomes,SP,5,boleto,1,-22.19,-48.79
526,Geladeira,eletrodomesticos,3245.3,170.3869008939,03/03/2021,Larissa Alves,GO,5,cartao_credito,5,-15.98,-49.86
527,Lavadora de roupas,eletrodomesticos,2060.2,107.2838911531,01/03/2022,Mariana Ferreira,PB,4,cartao_credito,5,-7.28,-36.72
528,Panela de pressão,utilidades domesticas,120.02,3.9751429978,23/08/2021,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
529,Xadrez de madeira,brinquedos,42.35,0.0,19/02/2021,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
530,Blocos de montar,brinquedos,55.29,0.0,15/04/2021,Bruno Rodrigues,BA,4,cartao_credito,5,-13.29,-41.71
531,Poltrona,moveis,251.37,10.969135344,01/02/2022,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
532,TV Led UHD 4K,eletronicos,3118.95,175.6556479735,22/12/2022,Thiago Silva,MG,1,cartao_credito,10,-18.1,-44.38
533,Mesa de centro,moveis,297.81,23.6555376762,29/10/2021,Isabella Pereira,SP,5,cartao_debito,1,-22.19,-48.79
534,Dashboards com Power BI,livros,57.63,9.3105595123,01/02/2022,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
535,Xadrez de madeira,brinquedos,39.69,0.0,22/01/2021,Thiago Silva,BA,5,cartao_credito,3,-13.29,-41.71
536,Copo térmico,esporte e lazer,66.21,1.10992238,15/01/2021,Bianca Santos,SE,5,boleto,1,-10.57,-37.45
537,Assistente virtual,eletronicos,242.62,10.5032241675,23/08/2022,Bruno Rodrigues,GO,4,cartao_credito,10,-15.98,-49.86
538,Guarda roupas,moveis,633.26,31.3036289647,26/12/2021,Camila Ribeiro,RS,4,cartao_credito,1,-30.17,-53.5
539,Guarda roupas,moveis,682.94,33.9489395072,16/08/2021,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
540,Headset,eletronicos,98.17,16.8732853686,06/06/2021,Rafael Costa,RJ,5,cartao_credito,8,-22.25,-42.66
541,Boneca bebê,brinquedos,72.79,4.1646253305,10/10/2020,Bruno Rodrigues,DF,4,cartao_credito,5,-15.83,-47.86
542,Ciência de dados com python,livros,58.27,3.3914790125,27/03/2021,Bianca Santos,SP,1,boleto,1,-22.19,-48.79
543,Jogo de copos,utilidades domesticas,30.75,0.0,15/08/2021,Felipe Santos,RJ,1,cartao_credito,4,-22.25,-42.66
544,Guitarra,instrumentos musicais,926.29,59.1794489716,03/08/2022,João Souza,SP,5,cartao_credito,10,-22.19,-48.79
545,Violão,instrumentos musicais,267.67,11.837061307,13/08/2020,João Souza,SP,3,cartao_credito,4,-22.19,-48.79
546,Micro-ondas,eletrodomesticos,786.15,39.4445615098,04/12/2022,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
547,Bola de basquete,esporte e lazer,79.22,1.8026657406,09/11/2022,Pedro Gomes,SP,3,boleto,1,-22.19,-48.79
548,Bola de vôlei,esporte e lazer,61.75,0.0,28/07/2021,Thiago Silva,MG,3,cartao_credito,7,-18.1,-44.38
549,Celular ABXY,eletronicos,1124.09,60.3855153086,06/01/2023,Bianca Santos,RO,4,cartao_credito,2,-10.83,-63.34
550,Geladeira,eletrodomesticos,2447.05,130.9850629363,29/06/2021,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
551,Bateria,instrumentos musicais,1236.67,63.4333961638,31/05/2020,Larissa Alves,PR,5,boleto,1,-24.89,-51.55
552,Panela de pressão,utilidades domesticas,88.66,2.3053173413,25/12/2022,Rafael Costa,MG,5,cartao_credito,3,-18.1,-44.38
553,Secadora de roupas,eletrodomesticos,1925.48,105.6898337016,19/08/2020,Felipe Santos,SP,5,cartao_credito,6,-22.19,-48.79
554,Celular ABXY,eletronicos,1522.65,87.3184671407,01/03/2021,Juliana Costa,SP,1,cartao_credito,4,-22.19,-48.79
555,Pandeiro,instrumentos musicais,53.74,10.663502946,21/09/2020,Felipe Santos,MG,4,cartao_credito,1,-18.1,-44.38
556,Carrinho controle remoto,brinquedos,99.69,5.5969694044,03/10/2020,Felipe Santos,SP,5,cartao_credito,12,-22.19,-48.79
557,Cama king,moveis,1149.19,58.7753493389,29/06/2020,Pedro Gomes,GO,5,cartao_credito,6,-15.98,-49.86
558,Cômoda,moveis,333.86,18.0601665231,30/12/2020,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
559,Dinossauro Rex,brinquedos,21.52,0.0,13/01/2020,Juliana Costa,PA,5,boleto,1,-3.79,-52.48
560,Secadora de roupas,eletrodomesticos,1108.63,56.6156513598,22/02/2020,Rafael Costa,PE,5,cartao_credito,1,-8.38,-37.86
561,Lavadora de roupas,eletrodomesticos,1776.57,94.8857846724,13/05/2020,Bianca Santos,RJ,5,cartao_credito,5,-22.25,-42.66
562,Carrinho controle remoto,brinquedos,102.41,6.1400365599,27/11/2020,Felipe Santos,RJ,5,cartao_credito,2,-22.25,-42.66
563,Lava louças,eletrodomesticos,1390.26,74.5582670618,04/11/2021,Juliana Costa,RJ,5,cartao_debito,1,-22.25,-42.66
564,Kit banquetas,moveis,395.06,21.3245333122,18/06/2022,Pedro Gomes,RN,4,boleto,1,-5.81,-36.59
565,Tablet ABXY,eletronicos,1137.91,61.4786993823,05/01/2021,Thiago Silva,SP,4,boleto,1,-22.19,-48.79
566,Smart TV,eletronicos,1787.53,92.7650339545,17/08/2020,João Souza,RJ,1,cartao_credito,6,-22.25,-42.66
567,Guarda roupas,moveis,643.56,34.9546460623,12/12/2021,Bruno Rodrigues,PI,5,cartao_credito,3,-6.6,-42.28
568,Tablet ABXY,eletronicos,2003.89,104.2855530563,09/08/2021,Larissa Alves,AL,1,cartao_credito,3,-9.62,-36.82
569,Micro-ondas,eletrodomesticos,645.87,34.9217389874,26/09/2021,Bruno Rodrigues,SE,5,boleto,1,-10.57,-37.45
570,Blocos de montar,brinquedos,39.62,0.0,28/03/2020,Pedro Gomes,RJ,5,cartao_credito,7,-22.25,-42.66
571,Dinossauro Rex,brinquedos,19.56,1.9299263306,09/12/2020,Lucas Oliveira,SP,5,cartao_credito,4,-22.19,-48.79
572,Corda de pular,esporte e lazer,15.51,0.0,23/11/2020,Felipe Santos,SP,5,boleto,1,-22.19,-48.79
573,Secadora de roupas,eletrodomesticos,840.82,45.3022399991,17/01/2020,Rafael Costa,RS,5,cartao_credito,6,-30.17,-53.5
574,Bola de basquete,esporte e lazer,87.25,4.934576829,16/01/2023,Camila Ribeiro,PB,5,cartao_credito,4,-7.28,-36.72
575,Jogo de copos,utilidades domesticas,43.22,2.5844608855,25/02/2021,Beatriz Moraes,MG,5,cartao_credito,1,-18.1,-44.38
576,Bateria,instrumentos musicais,774.32,41.5133364416,27/11/2020,Pedro Gomes,BA,5,cartao_credito,4,-13.29,-41.71
577,Micro-ondas,eletrodomesticos,1057.97,53.9181587655,21/07/2021,Bianca Santos,SC,3,boleto,1,-27.45,-50.95
578,Bicicleta,esporte e lazer,791.91,42.4556019272,02/03/2020,João Souza,SP,4,cartao_credito,3,-22.19,-48.79
579,Blocos de montar,brinquedos,34.27,0.0,23/04/2021,Camila Ribeiro,GO,4,cartao_credito,3,-15.98,-49.86
580,Ciência de dados com python,livros,64.72,9.8257596613,16/12/2020,Pedro Gomes,SP,3,boleto,1,-22.19,-48.79
581,Panela de pressão,utilidades domesticas,92.17,8.0715915382,29/01/2021,Felipe Santos,SP,5,cartao_credito,7,-22.19,-48.79
582,Micro-ondas,eletrodomesticos,645.48,31.954307202,10/09/2021,Isabella Pereira,RJ,5,cartao_credito,3,-22.25,-42.66
583,Faqueiro,utilidades domesticas,43.38,0.0,10/06/2022,João Souza,RJ,2,cartao_credito,4,-22.25,-42.66
584,Guarda roupas,moveis,685.78,37.0419868865,22/11/2021,Rafael Costa,RJ,1,cartao_credito,10,-22.25,-42.66
585,Modelagem preditiva,livros,103.81,3.112009264,19/08/2020,Rafael Costa,RJ,4,boleto,1,-22.25,-42.66
586,Pandeiro,instrumentos musicais,116.76,6.7482232639,20/01/2022,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
587,Mochila,esporte e lazer,149.63,8.4984518777,28/01/2021,Mariana Ferreira,SP,5,cartao_credito,5,-22.19,-48.79
588,Micro-ondas,eletrodomesticos,826.62,41.5994672597,17/05/2021,Larissa Alves,SP,1,cartao_credito,4,-22.19,-48.79
589,Secadora de roupas,eletrodomesticos,906.63,45.8597590573,28/02/2021,Beatriz Moraes,RJ,1,cartao_credito,5,-22.25,-42.66
590,Faqueiro,utilidades domesticas,62.75,3.8723532478,28/09/2020,João Souza,SP,3,cartao_credito,8,-22.19,-48.79
591,Lava louças,eletrodomesticos,1507.74,80.808884099,23/07/2022,Bruno Rodrigues,RJ,5,cartao_credito,10,-22.25,-42.66
592,Iniciando em programação,livros,70.71,1.3495338422,10/09/2021,Pedro Gomes,MG,1,cartao_credito,3,-18.1,-44.38
593,Cama king,moveis,1211.48,65.3960805541,05/06/2022,Beatriz Moraes,MG,5,cartao_credito,1,-18.1,-44.38
594,Bola de basquete,esporte e lazer,40.8,5.3362935799,30/10/2021,Bruno Rodrigues,AL,2,cartao_credito,5,-9.62,-36.82
595,Cadeira de escritório,moveis,368.31,27.4134090925,21/06/2020,Felipe Santos,DF,3,cartao_credito,10,-15.83,-47.86
596,Jogo de copos,utilidades domesticas,37.7,0.0,28/03/2022,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
597,Lava louças,eletrodomesticos,1966.4,104.9880101837,21/07/2021,Beatriz Moraes,MG,5,cartao_credito,2,-18.1,-44.38
598,Smart TV,eletronicos,2408.03,128.7514576988,30/11/2021,Bianca Santos,RJ,5,cartao_credito,1,-22.25,-42.66
599,Jogo de copos,utilidades domesticas,32.08,2.395175641,10/09/2020,João Souza,RS,5,cartao_credito,2,-30.17,-53.5
600,Bateria,instrumentos musicais,1432.66,77.1732501553,26/04/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
601,TV Led UHD 4K,eletronicos,3494.73,186.9722741163,05/09/2022,Larissa Alves,RJ,5,cartao_credito,6,-22.25,-42.66
602,Bola de vôlei,esporte e lazer,67.97,1.2036370852,27/09/2020,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
603,Bola de vôlei,esporte e lazer,58.5,9.4945633736,09/08/2022,Lucas Oliveira,SP,2,cartao_credito,10,-22.19,-48.79
604,Bola de vôlei,esporte e lazer,62.15,3.8404050528,15/02/2022,Juliana Costa,MG,2,cupom,1,-18.1,-44.38
605,Lava louças,eletrodomesticos,2097.89,112.2374357251,10/01/2023,Mariana Ferreira,MG,5,cartao_credito,1,-18.1,-44.38
606,Assistente virtual,eletronicos,288.87,12.9658975288,12/01/2022,Pedro Gomes,RJ,5,cartao_credito,5,-22.25,-42.66
607,Geladeira,eletrodomesticos,2821.51,150.5200451676,15/05/2021,Larissa Alves,SP,5,cupom,1,-22.19,-48.79
608,Cômoda,moveis,423.93,20.1574362138,23/03/2022,Beatriz Moraes,MG,5,cartao_credito,10,-18.1,-44.38
609,Bola de basquete,esporte e lazer,60.7,0.0,20/05/2021,Larissa Alves,SP,5,cartao_credito,4,-22.19,-48.79
610,Jogo de panelas,utilidades domesticas,106.27,6.1896623221,25/10/2022,Thiago Silva,SC,1,cartao_credito,1,-27.45,-50.95
611,Blocos de montar,brinquedos,33.94,0.0,24/04/2022,Rafael Costa,BA,3,cartao_credito,6,-13.29,-41.71
612,Violão,instrumentos musicais,293.28,15.9050545076,19/08/2021,Beatriz Moraes,SP,1,cartao_credito,1,-22.19,-48.79
613,Violão,instrumentos musicais,416.21,19.7463694387,24/01/2020,Beatriz Moraes,RJ,2,cartao_credito,4,-22.25,-42.66
614,Bola de vôlei,esporte e lazer,73.59,1.502885178,25/08/2022,Beatriz Moraes,SP,3,cartao_credito,1,-22.19,-48.79
615,Micro-ondas,eletrodomesticos,992.84,59.2453575016,08/03/2020,Bianca Santos,RJ,5,boleto,1,-22.25,-42.66
616,Poltrona,moveis,333.37,15.3353886548,26/01/2022,Juliana Costa,PR,5,cartao_credito,1,-24.89,-51.55
617,Panela de pressão,utilidades domesticas,98.15,2.8106312916,31/07/2022,Pedro Gomes,MG,4,boleto,1,-18.1,-44.38
618,Sofá retrátil,moveis,858.54,43.2991112315,15/05/2022,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
619,Geladeira,eletrodomesticos,3332.58,178.338274429,18/08/2021,Juliana Costa,SC,5,cartao_credito,1,-27.45,-50.95
620,Smart TV,eletronicos,1886.35,98.0269016641,13/11/2022,João Souza,ES,5,boleto,1,-19.19,-40.34
621,Secadora de roupas,eletrodomesticos,1224.97,66.1143824707,24/12/2020,Thiago Silva,BA,5,cartao_credito,8,-13.29,-41.71
622,Celular Plus X42,eletronicos,2402.6,125.5156610757,22/11/2020,Bianca Santos,SP,5,cartao_debito,1,-22.19,-48.79
623,Dashboards com Power BI,livros,37.7,9.8094212008,17/04/2020,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
624,Faqueiro,utilidades domesticas,69.45,1.2824426328,20/02/2023,João Souza,DF,5,cartao_credito,1,-15.83,-47.86
625,Fone de ouvido,eletronicos,144.88,5.2988632089,23/05/2022,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
626,Bola de basquete,esporte e lazer,92.21,5.4410096202,17/11/2022,Pedro Gomes,SP,3,cartao_credito,8,-22.19,-48.79
627,Assistente virtual,eletronicos,392.14,18.464714351,03/01/2021,Thiago Silva,RS,5,cartao_credito,6,-30.17,-53.5
628,Violão,instrumentos musicais,369.99,17.2852934871,03/06/2022,Camila Ribeiro,SC,1,cartao_credito,2,-27.45,-50.95
629,Bola de basquete,esporte e lazer,66.57,1.129091297,17/01/2020,Thiago Silva,SP,5,cupom,1,-22.19,-48.79
630,Fone de ouvido,eletronicos,154.33,18.0749013389,25/01/2023,Lucas Oliveira,BA,4,cartao_credito,8,-13.29,-41.71
631,Impressora,eletronicos,492.76,23.8224266454,10/05/2020,Juliana Costa,SP,5,cartao_credito,6,-22.19,-48.79
632,Ciência de dados com python,livros,55.06,0.0,08/02/2022,Bianca Santos,PR,4,boleto,1,-24.89,-51.55
633,Assistente virtual,eletronicos,195.66,8.0027454421,14/03/2022,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
634,Sofá retrátil,moveis,944.36,50.9713411344,10/12/2020,Juliana Costa,SP,5,cartao_credito,3,-22.19,-48.79
635,Micro-ondas,eletrodomesticos,841.74,42.4045617727,10/09/2020,Rafael Costa,RS,5,boleto,1,-30.17,-53.5
636,Cama king,moveis,695.31,34.6076047932,01/06/2021,João Souza,SP,1,boleto,1,-22.19,-48.79
637,Poltrona,moveis,267.89,11.8487756451,06/09/2021,Pedro Gomes,SP,1,boleto,1,-22.19,-48.79
638,Bola de basquete,esporte e lazer,96.32,6.5278655771,26/05/2022,Beatriz Moraes,PB,5,cartao_credito,2,-7.28,-36.72
639,Fogão,eletrodomesticos,712.85,38.2402438681,10/04/2021,Mariana Ferreira,MT,5,boleto,1,-12.64,-55.42
640,Fone de ouvido,eletronicos,182.69,10.4147050453,21/02/2023,Pedro Gomes,MS,5,cartao_credito,2,-20.51,-54.54
641,Copo térmico,esporte e lazer,77.09,7.2686269049,11/11/2022,Beatriz Moraes,SP,5,cartao_credito,9,-22.19,-48.79
642,Lavadora de roupas,eletrodomesticos,1822.44,94.6238864312,01/04/2021,Thiago Silva,MS,3,cartao_credito,5,-20.51,-54.54
643,Secadora de roupas,eletrodomesticos,1370.05,73.8908886687,15/02/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
644,Mesa de jantar,moveis,422.98,22.8111893176,29/01/2020,Camila Ribeiro,BA,1,cartao_credito,1,-13.29,-41.71
645,Bola de basquete,esporte e lazer,97.78,6.0949060133,08/04/2022,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
646,Assistente virtual,eletronicos,275.2,15.5419872623,12/07/2021,Larissa Alves,RS,5,boleto,1,-30.17,-53.5
647,Fone de ouvido,eletronicos,97.66,11.4420365859,20/02/2022,Beatriz Moraes,SP,5,cartao_credito,3,-22.19,-48.79
648,Bateria,instrumentos musicais,899.96,48.4464275465,08/01/2022,Larissa Alves,RS,2,cartao_credito,1,-30.17,-53.5
649,Dashboards com Power BI,livros,49.79,0.0,21/09/2022,Lucas Oliveira,SP,5,cupom,1,-22.19,-48.79
650,Geladeira,eletrodomesticos,2360.11,133.2243376222,05/01/2021,Pedro Gomes,ES,5,cartao_credito,3,-19.19,-40.34
651,Carrinho controle remoto,brinquedos,113.57,3.631699902,12/09/2022,Pedro Gomes,SP,5,boleto,1,-22.19,-48.79
652,Lava louças,eletrodomesticos,2054.11,109.6639547201,10/03/2020,Beatriz Moraes,MG,5,cartao_credito,1,-18.1,-44.38
653,Carrinho controle remoto,brinquedos,116.73,6.4986472378,10/12/2020,Mariana Ferreira,MG,5,boleto,1,-18.1,-44.38
654,Cubo mágico 8x8,brinquedos,18.77,0.0,26/08/2021,Bruno Rodrigues,RJ,4,boleto,1,-22.25,-42.66
655,Cama king,moveis,773.21,48.969157481,05/02/2023,Beatriz Moraes,GO,4,cartao_credito,4,-15.98,-49.86
656,Bicicleta,esporte e lazer,836.66,45.438043164,01/01/2023,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
657,Sofá retrátil,moveis,814.04,40.9296201054,20/02/2023,Rafael Costa,SP,4,cartao_credito,10,-22.19,-48.79
658,Jogo de panelas,utilidades domesticas,135.89,8.124148863,28/12/2022,Isabella Pereira,SP,4,cartao_credito,7,-22.19,-48.79
659,Mesa de jantar,moveis,333.52,18.2900411623,03/05/2020,Camila Ribeiro,SP,3,cartao_credito,3,-22.19,-48.79
660,Impressora,eletronicos,389.53,21.267565626,22/05/2021,Isabella Pereira,RJ,5,cartao_credito,10,-22.25,-42.66
661,Mesa de jantar,moveis,286.43,16.6506511495,09/03/2021,Bianca Santos,GO,5,cartao_credito,1,-15.98,-49.86
662,Guitarra,instrumentos musicais,1245.97,66.6329309314,01/12/2022,Juliana Costa,RJ,1,boleto,1,-22.25,-42.66
663,Jogo de copos,utilidades domesticas,59.9,3.4726207053,09/03/2022,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
664,Mochila,esporte e lazer,110.51,3.4687641077,02/08/2022,Larissa Alves,SP,5,cartao_credito,2,-22.19,-48.79
665,Poltrona,moveis,305.56,17.1585659272,31/07/2020,Rafael Costa,MG,5,cartao_credito,14,-18.1,-44.38
666,Headset,eletronicos,65.76,4.0326266925,16/12/2022,Mariana Ferreira,MG,5,cartao_credito,2,-18.1,-44.38
667,Mesa de jantar,moveis,411.7,31.0161728052,08/06/2020,Isabella Pereira,RS,1,cartao_credito,2,-30.17,-53.5
668,Bola de vôlei,esporte e lazer,64.91,3.9873667496,14/07/2022,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
669,Celular Plus X42,eletronicos,2715.32,142.1670602877,17/08/2021,Larissa Alves,MG,5,cartao_credito,4,-18.1,-44.38
670,Iniciando em programação,livros,67.63,1.185533108,14/03/2020,Bruno Rodrigues,MG,5,cartao_credito,2,-18.1,-44.38
671,Boneca bebê,brinquedos,74.66,1.559859459,05/06/2020,Camila Ribeiro,RS,5,boleto,1,-30.17,-53.5
672,Cama box,moveis,842.74,45.404474223,30/04/2021,Bianca Santos,SP,3,cartao_credito,2,-22.19,-48.79
673,Fone de ouvido,eletronicos,68.58,11.4497297925,23/07/2022,Thiago Silva,RJ,5,cupom,1,-22.25,-42.66
674,Cômoda,moveis,348.66,18.8482219987,26/02/2021,Larissa Alves,RS,1,cartao_credito,5,-30.17,-53.5
675,Boneca bebê,brinquedos,52.56,5.9624782011,22/05/2021,Bruno Rodrigues,MG,4,boleto,1,-18.1,-44.38
676,Secadora de roupas,eletrodomesticos,1421.6,73.2803623197,05/09/2021,Juliana Costa,SP,5,cartao_credito,10,-22.19,-48.79
677,Geladeira,eletrodomesticos,2524.58,134.9573945693,05/10/2021,Rafael Costa,MG,5,cartao_credito,2,-18.1,-44.38
678,Bola de vôlei,esporte e lazer,61.05,6.4145451597,05/11/2020,Bruno Rodrigues,SC,5,boleto,1,-27.45,-50.95
679,Bateria,instrumentos musicais,1350.8,69.5104753147,09/04/2021,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
680,Bicicleta,esporte e lazer,746.32,37.3237338345,14/09/2022,Rafael Costa,BA,5,cartao_credito,1,-13.29,-41.71
681,Mesa de centro,moveis,209.99,8.7657748317,28/11/2022,Juliana Costa,GO,5,cartao_credito,3,-15.98,-49.86
682,Iniciando em programação,livros,68.29,14.1423395352,29/01/2022,Rafael Costa,MG,5,cartao_credito,1,-18.1,-44.38
683,Bateria,instrumentos musicais,1021.25,51.9629292341,03/09/2022,Bruno Rodrigues,SP,4,boleto,1,-22.19,-48.79
684,Sofá retrátil,moveis,923.39,46.7521786365,18/02/2021,Thiago Silva,SE,1,cupom,1,-10.57,-37.45
685,Modelagem preditiva,livros,105.99,3.2280877057,01/07/2022,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
686,Bicicleta,esporte e lazer,583.39,31.3468883361,11/09/2022,Pedro Gomes,MG,4,cartao_credito,3,-18.1,-44.38
687,Cubo mágico 8x8,brinquedos,20.5,11.088648263,28/12/2021,Mariana Ferreira,DF,5,boleto,1,-15.83,-47.86
688,Ciência de dados com python,livros,54.57,0.0,27/12/2020,Beatriz Moraes,SP,5,cartao_credito,6,-22.19,-48.79
689,Micro-ondas,eletrodomesticos,833.85,41.984443009,13/11/2022,Rafael Costa,RJ,1,cartao_credito,1,-22.25,-42.66
690,Cama king,moveis,1031.55,52.5113732476,08/04/2020,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
691,Xadrez de madeira,brinquedos,38.12,2.9181904946,17/09/2022,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
692,Poltrona,moveis,257.68,14.0038107033,22/02/2023,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
693,Dashboards com Power BI,livros,50.11,0.0,22/02/2020,Larissa Alves,MG,4,cartao_credito,2,-18.1,-44.38
694,Guitarra,instrumentos musicais,1010.03,56.9448752448,20/04/2020,Beatriz Moraes,PR,5,cupom,1,-24.89,-51.55
695,Bateria,instrumentos musicais,546.01,38.9306830073,14/01/2022,Rafael Costa,RS,5,cartao_credito,2,-30.17,-53.5
696,Guitarra,instrumentos musicais,1201.03,64.482338842,26/02/2022,Lucas Oliveira,SP,4,cupom,1,-22.19,-48.79
697,Secadora de roupas,eletrodomesticos,949.94,51.5212950291,11/07/2020,Bianca Santos,SP,3,boleto,1,-22.19,-48.79
698,Copo térmico,esporte e lazer,58.93,0.0,29/08/2021,Rafael Costa,ES,5,cupom,1,-19.19,-40.34
699,Tablet ABXY,eletronicos,1773.53,94.9662415309,12/02/2021,Thiago Silva,SP,4,cartao_credito,2,-22.19,-48.79
700,Smartwatch,eletronicos,214.73,9.0181655719,27/11/2021,Bruno Rodrigues,SP,1,cartao_credito,5,-22.19,-48.79
701,Secadora de roupas,eletrodomesticos,1612.81,83.4617195828,03/05/2020,Juliana Costa,SP,3,boleto,1,-22.19,-48.79
702,Jogo de tabuleiro,brinquedos,165.78,6.4117253332,28/11/2022,Felipe Santos,PE,1,cartao_credito,10,-8.38,-37.86
703,Celular ABXY,eletronicos,1130.91,60.7438202557,07/10/2022,Thiago Silva,RS,1,cartao_credito,1,-30.17,-53.5
704,Smartwatch,eletronicos,207.51,8.6337222925,27/08/2021,Mariana Ferreira,SP,3,cartao_credito,1,-22.19,-48.79
705,Carrinho controle remoto,brinquedos,87.94,2.2669795074,25/07/2022,Rafael Costa,RS,5,cartao_credito,10,-30.17,-53.5
706,Modelagem preditiva,livros,62.52,6.4928182374,19/05/2020,Beatriz Moraes,SP,1,cartao_credito,3,-22.19,-48.79
707,Ciência de dados com python,livros,78.22,4.4481055914,15/03/2023,Thiago Silva,MG,5,cartao_credito,8,-18.1,-44.38
708,Guarda roupas,moveis,677.22,36.3430535576,02/01/2023,Beatriz Moraes,SP,5,cartao_credito,3,-22.19,-48.79
709,Kit banquetas,moveis,364.48,19.6905894057,25/08/2022,Pedro Gomes,SP,5,boleto,1,-22.19,-48.79
710,Celular ABXY,eletronicos,1483.03,76.5513250135,13/06/2020,Thiago Silva,SP,5,cartao_credito,8,-22.19,-48.79
711,Impressora,eletronicos,404.53,33.1860337141,18/12/2020,Thiago Silva,GO,5,cartao_credito,3,-15.98,-49.86
712,Sofá retrátil,moveis,839.8,42.301262609,14/06/2021,Bruno Rodrigues,SP,4,cartao_credito,8,-22.19,-48.79
713,TV Led UHD 4K,eletronicos,2856.68,152.9980311283,05/07/2020,Felipe Santos,SP,5,cartao_credito,5,-22.19,-48.79
714,Geladeira,eletrodomesticos,2270.27,118.4694866777,22/01/2022,Isabella Pereira,SP,3,boleto,1,-22.19,-48.79
715,Bateria,instrumentos musicais,892.28,48.9103410081,27/06/2021,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
716,Lava louças,eletrodomesticos,2004.12,107.4003729485,25/05/2020,Felipe Santos,MG,5,cartao_credito,7,-18.1,-44.38
717,Dinossauro Rex,brinquedos,21.01,2.0585671256,13/11/2021,Bruno Rodrigues,SC,3,cartao_credito,4,-27.45,-50.95
718,Tablet ABXY,eletronicos,1674.08,90.0281388665,28/09/2020,Juliana Costa,MS,5,boleto,1,-20.51,-54.54
719,Ciência de dados com python,livros,65.93,4.0416786811,19/02/2023,Felipe Santos,SP,3,cartao_credito,1,-22.19,-48.79
720,Impressora,eletronicos,474.13,22.8304351919,14/02/2021,Pedro Gomes,PR,2,boleto,1,-24.89,-51.55
721,Copo térmico,esporte e lazer,72.54,12.9569231354,15/09/2022,Beatriz Moraes,RS,4,cartao_credito,6,-30.17,-53.5
722,Dinossauro Rex,brinquedos,21.55,4.3112889917,05/06/2022,Juliana Costa,SP,1,cupom,1,-22.19,-48.79
723,Jogo de copos,utilidades domesticas,37.96,0.0,18/01/2023,Bruno Rodrigues,RJ,4,cartao_credito,1,-22.25,-42.66
724,Fogão,eletrodomesticos,1303.92,70.8289326288,30/05/2022,Rafael Costa,SP,3,cartao_credito,3,-22.19,-48.79
725,Mesa de centro,moveis,233.0,13.2949642169,20/02/2022,Bruno Rodrigues,MG,2,boleto,1,-18.1,-44.38
726,Lava louças,eletrodomesticos,1800.41,96.397520665,22/07/2020,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
727,Micro-ondas,eletrodomesticos,1043.01,53.1215837712,03/11/2021,Mariana Ferreira,RJ,5,cartao_credito,3,-22.25,-42.66
728,Bateria,instrumentos musicais,1131.69,60.7901924448,12/04/2022,Thiago Silva,MG,3,boleto,1,-18.1,-44.38
729,Cubo mágico 8x8,brinquedos,25.32,0.0,11/02/2023,Bianca Santos,SP,5,cartao_credito,3,-22.19,-48.79
730,Impressora,eletronicos,446.11,26.9178317438,09/07/2022,Mariana Ferreira,SP,3,cartao_credito,2,-22.19,-48.79
731,Boneca bebê,brinquedos,59.03,3.4262958227,23/02/2021,Camila Ribeiro,MG,3,cartao_credito,8,-18.1,-44.38
732,Dinossauro Rex,brinquedos,20.65,0.0,06/10/2021,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
733,Mochila,esporte e lazer,114.56,3.6844144237,18/09/2020,Pedro Gomes,DF,4,cartao_credito,4,-15.83,-47.86
