,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
412,Carrinho controle remoto,brinquedos,89.4,5.0490578609,05/10/2021,Bruno Rodrigues,SP,5,cartao_credito,4,-22.19,-48.79
413,Impressora,eletronicos,309.59,17.0158406534,13/01/2021,Felipe Santos,MG,5,cartao_credito,1,-18.1,-44.38
414,Bola de vôlei,esporte e lazer,50.88,2.9979837446,23/09/2021,Lucas Oliveira,SP,5,boleto,1,-22.19,-48.79
415,Modelagem preditiva,livros,101.54,14.5010858917,01/08/2021,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86
416,Lava louças,eletrodomesticos,1726.7,89.5260194557,15/03/2020,Bianca Santos,MG,5,cartao_credito,2,-18.1,-44.38
417,Geladeira,eletrodomesticos,2349.94,125.416012244,28/03/2023,Beatriz Moraes,SP,1,cupom,1,-22.19,-48.79
418,Tablet ABXY,eletronicos,2137.61,111.4057407726,13/11/2020,Lucas Oliveira,SP,4,cartao_credito,4,-22.19,-48.79
419,Smart TV,eletronicos,2350.93,125.4630758622,28/07/2020,Bruno Rodrigues,PR,2,boleto,1,-24.89,-51.55
420,Faqueiro,utilidades domesticas,60.75,0.0,29/11/2020,Rafael Costa,SP,3,cartao_credito,3,-22.19,-48.79
421,Guitarra,instrumentos musicais,1183.71,63.3121223312,24/12/2021,Mariana Ferreira,SC,4,cartao_credito,1,-27.45,-50.95
422,Iniciando em programação,livros,59.3,0.0,13/06/2022,Bruno Rodrigues,RS,5,cartao_credito,4,-30.17,-53.5
423,Smart TV,eletronicos,2298.81,123.3445645836,29/07/2021,Thiago Silva,SP,4,boleto,1,-22.19,-48.79
424,Geladeira,eletrodomesticos,2144.77,111.7869892324,10/10/2021,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
425,Fone de ouvido,eletronicos,150.61,8.9079445793,04/04/2020,João Souza,BA,5,cartao_credito,1,-13.29,-41.71
426,Carrinho controle remoto,brinquedos,86.06,5.1135406219,14/02/2021,Beatriz Moraes,MG,5,cartao_credito,8,-18.1,-44.38
427,Lavadora de roupas,eletrodomesticos,1989.86,103.5384977642,09/04/2021,Camila Ribeiro,BA,5,cartao_credito,10,-13.29,-41.71
428,Smartwatch,eletronicos,228.29,21.2501420765,26/03/2020,Larissa Alves,SP,2,cupom,1,-22.19,-48.79
429,Carrinho controle remoto,brinquedos,108.94,6.3318317896,05/01/2022,Rafael Costa,BA,5,cartao_credito,1,-13.29,-41.71
430,Mochila,esporte e lazer,119.89,6.9148863476,28/05/2020,Pedro Gomes,PR,2,cartao_credito,6,-24.89,-51.55
431,Bola de vôlei,esporte e lazer,61.2,4.1471310607,14/03/2020,Mariana Ferreira,PR,4,cartao_credito,4,-24.89,-51.55
432,Dashboards com Power BI,livros,58.7,3.4087243154,03/04/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
433,Assistente virtual,eletronicos,195.86,13.5927720968,10/02/2022,Mariana Ferreira,MG,5,cupom,1,-18.1,-44.38
434,Headset,eletronicos,125.75,4.2802482596,06/07/2021,Thiago Silva,SP,4,boleto,1,-22.19,-48.79
435,Celular ABXY,eletronicos,1351.2,69.5317741113,28/06/2020,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
436,Sofá retrátil,moveis,890.4,44.9955603837,01/03/2022,Rafael Costa,RS,4,boleto,1,-30.17,-53.5
437,Jogo de panelas,utilidades domesticas,276.27,12.2949854347,18/12/2021,Camila Ribeiro,RJ,1,boleto,1,-22.25,-42.66
438,Copo térmico,esporte e lazer,41.0,2.4719034677,11/11/2020,Lucas Oliveira,MT,5,cupom,1,-12.64,-55.42
439,Assistente virtual,eletronicos,161.94,6.2072568855,20/10/2020,Camila Ribeiro,RO,3,boleto,1,-10.83,-63.34
440,Geladeira,eletrodomesticos,3280.27,172.24894819,23/12/2020,Bruno Rodrigues,RS,5,boleto,1,-30.17,-53.5
441,Modelagem preditiva,livros,97.21,2.7605791195,08/01/2022,Rafael Costa,SP,5,cartao_credito,2,-22.19,-48.79
442,Xadrez de madeira,brinquedos,30.06,0.0,07/09/2022,Pedro Gomes,DF,4,cartao_credito,2,-15.83,-47.86
443,Copo térmico,esporte e lazer,57.08,3.5704428054,10/08/2020,Juliana Costa,RS,1,boleto,1,-30.17,-53.5
444,Smart TV,eletronicos,2458.84,128.510271883,19/12/2022,Camila Ribeiro,SP,5,cartao_credito,2,-22.19,-48.79
445,Celular Plus X42,eletronicos,2615.75,139.8119227932,28/06/2020,Lucas Oliveira,SP,4,boleto,1,-22.19,-48.79
446,Bola de vôlei,esporte e lazer,60.57,0.0,10/02/2023,Isabella Pereira,MG,5,cupom,1,-18.1,-44.38
447,Panela de pressão,utilidades domesticas,81.92,1.946432618,16/05/2022,Lucas Oliveira,RJ,1,cartao_credito,3,-22.25,-42.66
448,Boneca bebê,brinquedos,61.36,3.5560122166,08/12/2021,Rafael Costa,MG,5,boleto,1,-18.1,-44.38
449,Sofá retrátil,moveis,915.19,49.0198910512,21/08/2022,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
450,Iniciando em programação,livros,50.01,4.315676402,30/04/2021,João Souza,SP,5,boleto,1,-22.19,-48.79
451,Boneca bebê,brinquedos,75.9,4.7284588127,17/08/2021,Bruno Rodrigues,MG,5,cartao_credito,9,-18.1,-44.38
452,Lava louças,eletrodomesticos,1319.83,67.8614159849,28/03/2021,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
453,Guitarra,instrumentos musicais,803.97,43.7488316658,25/12/2021,Bruno Rodrigues,SP,3,cartao_credito,4,-22.19,-48.79
454,Copo térmico,esporte e lazer,43.83,0.0,30/12/2022,Felipe Santos,RJ,5,cartao_credito,7,-22.25,-42.66
455,Lava louças,eletrodomesticos,1878.08,97.5865490436,08/05/2021,Juliana Costa,MG,5,cartao_credito,10,-18.1,-44.38
456,Ciência de dados com python,livros,57.04,0.0,21/11/2021,Lucas Oliveira,MG,5,cartao_credito,1,-18.1,-44.38
457,Cama box,moveis,869.96,43.9071918755,24/09/2022,Mariana Ferreira,BA,5,cartao_credito,3,-13.29,-41.71
458,Corda de pular,esporte e lazer,34.62,0.0,22/09/2020,Lucas Oliveira,PR,4,boleto,1,-24.89,-51.55
459,Bateria,instrumentos musicais,764.74,45.2001430652,24/12/2021,Bianca Santos,RJ,2,cartao_credito,8,-22.25,-42.66
460,Mochila,esporte e lazer,123.45,4.157780179,28/08/2021,Camila Ribeiro,SP,5,cartao_credito,5,-22.19,-48.79
461,Dinossauro Rex,brinquedos,24.13,2.9376442595,15/12/2022,Beatriz Moraes,BA,5,cartao_credito,6,-13.29,-41.71
462,Blocos de montar,brinquedos,43.31,0.0,08/01/2021,Camila Ribeiro,PR,5,cartao_credito,1,-24.89,-51.55
463,Xadrez de madeira,brinquedos,43.87,2.6247223335,26/06/2021,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
464,Smart TV,eletronicos,1557.85,83.233951767,02/06/2020,João Souza,SP,2,cartao_credito,3,-22.19,-48.79
465,Copo térmico,esporte e lazer,86.89,4.9097570085,17/01/2020,Felipe Santos,SP,5,cartao_credito,6,-22.19,-48.79
466,Bola de basquete,esporte e lazer,90.25,5.0943178038,03/09/2022,Lucas Oliveira,SP,1,cartao_credito,3,-22.19,-48.79
467,Faqueiro,utilidades domesticas,55.37,0.0,12/02/2021,Felipe Santos,AM,2,cartao_credito,1,-3.47,-65.1
468,TV Led UHD 4K,eletronicos,2982.76,159.111773466,12/09/2020,Felipe Santos,SC,5,cartao_credito,4,-27.45,-50.95
469,Carrinho controle remoto,brinquedos,109.29,12.1989780767,29/04/2021,Pedro Gomes,BA,1,cartao_credito,1,-13.29,-41.71
470,Kit banquetas,moveis,417.81,19.8315646252,06/10/2020,Bianca Santos,MG,5,boleto,1,-18.1,-44.38
471,Cômoda,moveis,329.73,20.7209468618,21/11/2021,Larissa Alves,RN,5,cartao_credito,5,-5.81,-36.59
472,Mesa de jantar,moveis,267.6,11.8333340176,13/03/2022,Isabella Pereira,RO,5,cartao_credito,5,-10.83,-63.34
473,Cama box,moveis,461.34,24.8537439152,14/09/2021,Larissa Alves,RS,4,boleto,1,-30.17,-53.5
474,Guitarra,instrumentos musicais,1013.98,51.5758236052,27/06/2020,Larissa Alves,SP,3,cartao_credito,1,-22.19,-48.79
475,Cadeira de escritório,moveis,371.71,22.956255569,07/02/2021,Isabella Pereira,GO,1,cartao_credito,1,-15.98,-49.86
476,Modelagem preditiva,livros,64.08,3.6951931302,20/01/2023,João Souza,SC,4,cartao_credito,2,-27.45,-50.95
477,Bola de basquete,esporte e lazer,78.18,4.4516266152,29/12/2022,João Souza,RS,2,cartao_credito,6,-30.17,-53.5
478,Ciência de dados com python,livros,85.05,5.2156687858,22/11/2020,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
479,Smart TV,eletronicos,1798.71,96.6643114292,16/11/2021,Isabella Pereira,SP,5,cartao_credito,10,-22.19,-48.79
480,TV Led UHD 4K,eletronicos,3168.26,170.0994289415,18/08/2022,Bianca Santos,GO,4,cartao_credito,4,-15.98,-49.86
481,Guitarra,instrumentos musicais,1122.14,57.3350182163,09/10/2021,Camila Ribeiro,MG,5,boleto,1,-18.1,-44.38
482,Poltrona,moveis,303.19,13.7283944485,09/12/2021,Isabella Pereira,ES,5,cartao_credito,3,-19.19,-40.34
483,Tablet ABXY,eletronicos,1382.62,79.8622909075,02/04/2022,Larissa Alves,MG,5,cartao_credito,1,-18.1,-44.38
484,Cômoda,moveis,352.09,19.0308591799,02/02/2022,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
485,Panela de pressão,utilidades domesticas,121.44,4.0507537258,06/05/2022,Juliana Costa,GO,5,cartao_credito,3,-15.98,-49.86
486,Jogo de panelas,utilidades domesticas,278.47,16.4804841021,05/08/2020,Pedro Gomes,SP,5,cartao_credito,4,-22.19,-48.79
487,Cômoda,moveis,346.21,16.0190800269,30/09/2021,Camila Ribeiro,MG,5,cartao_debito,1,-18.1,-44.38
488,Iniciando em programação,livros,55.85,3.5049490058,12/09/2021,Beatriz Moraes,SP,3,cartao_credito,4,-22.19,-48.79
489,Cadeira de escritório,moveis,664.13,32.9473635952,12/07/2022,Rafael Costa,MG,5,cartao_credito,1,-18.1,-44.38
490,Panela de pressão,utilidades domesticas,101.58,2.9932684727,14/06/2022,Bruno Rodrigues,PR,5,cartao_credito,1,-24.89,-51.55
491,Impressora,eletronicos,312.15,14.2054874932,29/06/2020,Camila Ribeiro,SC,5,cartao_credito,1,-27.45,-50.95
492,Smartwatch,eletronicos,293.47,13.2108336902,21/04/2021,Felipe Santos,PI,1,cartao_credito,2,-6.6,-42.28
493,Ciência de dados com python,livros,59.0,0.0,05/09/2022,Felipe Santos,RJ,4,cartao_credito,8,-22.25,-42.66
494,Bola de basquete,esporte e lazer,71.35,1.3836119168,28/06/2022,Camila Ribeiro,RS,5,cartao_credito,5,-30.17,-53.5
495,Bola de vôlei,esporte e lazer,59.81,0.0,03/03/2023,Pedro Gomes,BA,5,cartao_credito,8,-13.29,-41.71
496,Ciência de dados com python,livros,63.61,0.0,04/06/2022,Pedro Gomes,PR,5,cartao_credito,8,-24.89,-51.55
497,Cômoda,moveis,428.41,20.3959827362,07/01/2023,Beatriz Moraes,MG,5,cartao_credito,11,-18.1,-44.38
498,Jogo de panelas,utilidades domesticas,168.59,6.5613493796,27/05/2022,Isabella Pereira,SP,1,cartao_credito,2,-22.19,-48.79
499,Bicicleta,esporte e lazer,615.41,33.4557432488,09/12/2022,Isabella Pereira,SP,2,cartao_credito,4,-22.19,-48.79
500,Ciência de dados com python,livros,52.36,3.676427655,08/04/2022,Rafael Costa,SP,5,cartao_credito,3,-22.19,-48.79
501,Fone de ouvido,eletronicos,57.02,3.567247986,14/05/2020,Bianca Santos,RN,4,cartao_credito,5,-5.81,-36.59
502,Guitarra,instrumentos musicais,892.6,48.0545296884,01/04/2021,Mariana Ferreira,PR,4,boleto,1,-24.89,-51.55
503,Tablet ABXY,eletronicos,1324.52,68.1111443755,10/07/2021,Juliana Costa,RJ,2,cartao_credito,4,-22.25,-42.66
504,Celular ABXY,eletronicos,1578.34,81.6262957825,01/04/2021,Bianca Santos,SP,4,cartao_credito,2,-22.19,-48.79
505,Faqueiro,utilidades domesticas,73.94,4.6240947092,28/12/2022,Camila Ribeiro,RS,1,cartao_credito,1,-30.17,-53.5
506,Celular Plus X42,eletronicos,2174.87,116.3363891382,03/07/2020,Felipe Santos,MG,1,cartao_credito,10,-18.1,-44.38
507,Smart TV,eletronicos,1762.86,91.4514306718,29/10/2022,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
508,Micro-ondas,eletrodomesticos,411.39,19.4897189392,01/10/2020,Rafael Costa,SP,4,cartao_credito,1,-22.19,-48.79
509,Carrinho controle remoto,brinquedos,117.99,6.5657384472,14/08/2022,Thiago Silva,MG,5,boleto,1,-18.1,-44.38
510,Bola de vôlei,esporte e lazer,55.82,3.9120949031,22/09/2021,Felipe Santos,MG,5,cartao_credito,3,-18.1,-44.38
511,Cama box,moveis,411.04,19.4710824921,22/12/2020,João Souza,SC,5,boleto,1,-27.45,-50.95
512,Smart TV,eletronicos,2041.95,106.3121335565,14/05/2022,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
513,Pandeiro,instrumentos musicais,73.86,1.5172618657,07/07/2021,Thiago Silva,RJ,2,cartao_credito,1,-22.25,-42.66
514,Smartwatch,eletronicos,244.21,10.5878868841,27/05/2021,Mariana Ferreira,RJ,5,cartao_credito,2,-22.25,-42.66
515,Cama king,moveis,762.74,41.3006225207,29/01/2022,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
516,Bola de basquete,esporte e lazer,32.69,0.0,24/09/2022,Felipe Santos,SP,5,boleto,1,-22.19,-48.79
517,Cama box,moveis,452.57,24.3811168955,27/08/2022,Felipe Santos,RJ,5,cartao_credito,8,-22.25,-42.66
518,Celular Plus X42,eletronicos,2687.52,143.9907700299,05/07/2020,Isabella Pereira,ES,4,cartao_credito,6,-19.19,-40.34
519,Celular Plus X42,eletronicos,3205.55,175.1659326233,25/10/2022,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
520,Dashboards com Power BI,livros,46.91,0.0,10/07/2022,Juliana Costa,ES,5,cartao_credito,2,-19.19,-40.34
521,Cubo mágico 8x8,brinquedos,19.68,1.7349129452,31/07/2020,Camila Ribeiro,RJ,2,cartao_credito,3,-22.25,-42.66
522,Cubo mágico 8x8,brinquedos,19.81,0.0,03/04/2022,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
523,Cama box,moveis,698.97,38.1064648911,17/04/2022,Juliana Costa,SP,1,cartao_credito,2,-22.19,-48.79
524,Blocos de montar,brinquedos,41.04,2.4683824438,22/07/2020,Mariana Ferreira,SP,5,cartao_credito,2,-22.19,-48.79
525,Cama king,moveis,725.55,36.2177938191,15/04/2022,Bruno Rodrigues,SC,5,cartao_credito,2,-27.45,-50.95
526,Dinossauro Rex,brinquedos,25.05,0.0,04/02/2022,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
527,Assistente virtual,eletronicos,253.68,16.6715131509,27/04/2021,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
528,Bicicleta,esporte e lazer,981.45,52.9462720528,21/05/2020,Rafael Costa,RJ,5,boleto,1,-22.25,-42.66
529,Lava louças,eletrodomesticos,1339.85,71.8740862154,15/01/2023,Bianca Santos,SP,5,boleto,1,-22.19,-48.79
530,Geladeira,eletrodomesticos,2774.0,147.9902805969,01/03/2021,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
531,Jogo de tabuleiro,brinquedos,333.36,18.0391939307,22/03/2023,Isabella Pereira,SP,5,cartao_credito,10,-22.19,-48.79
532,Geladeira,eletrodomesticos,2034.55,105.9181058186,05/11/2022,Pedro Gomes,SP,5,cartao_credito,8,-22.19,-48.79
533,Bateria,instrumentos musicais,699.28,34.8189953499,01/09/2020,Pedro Gomes,SP,5,boleto,1,-22.19,-48.79
534,Sofá retrátil,moveis,930.8,49.8454256866,28/02/2020,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
535,Panela de pressão,utilidades domesticas,98.88,5.9520746796,18/10/2020,Beatriz Moraes,SC,5,cartao_credito,7,-27.45,-50.95
536,Dinossauro Rex,brinquedos,21.47,0.0,22/08/2020,Bruno Rodrigues,RJ,3,cartao_credito,1,-22.25,-42.66
537,Fogão,eletrodomesticos,1107.29,56.5443003911,02/03/2020,Lucas Oliveira,SP,1,cartao_credito,2,-22.19,-48.79
538,Boneca bebê,brinquedos,77.75,11.9419632143,01/06/2022,Thiago Silva,SP,2,cartao_credito,3,-22.19,-48.79
539,Faqueiro,utilidades domesticas,56.73,3.5518063584,05/06/2022,Beatriz Moraes,MG,3,cartao_credito,8,-18.1,-44.38
540,Cama box,moveis,511.77,27.9372250398,15/08/2021,Bianca Santos,RJ,5,cartao_credito,10,-22.25,-42.66
541,Kit banquetas,moveis,429.24,31.9501250378,31/03/2021,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
542,Boneca bebê,brinquedos,64.23,1.0044933366,10/12/2021,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
543,Geladeira,eletrodomesticos,2640.65,138.1911074252,27/08/2020,Rafael Costa,MT,5,cartao_credito,6,-12.64,-55.42
544,Lava louças,eletrodomesticos,1633.75,84.5767115868,10/02/2023,Larissa Alves,RS,5,cartao_credito,4,-30.17,-53.5
545,Sofá retrátil,moveis,971.44,52.6146726913,25/07/2021,João Souza,RS,5,cartao_credito,4,-30.17,-53.5
546,Modelagem preditiva,livros,104.15,3.1301132411,28/08/2020,Bianca Santos,BA,4,cartao_credito,4,-13.29,-41.71
547,Corda de pular,esporte e lazer,31.63,0.0,24/05/2021,Rafael Costa,MG,5,boleto,1,-18.1,-44.38
548,Iniciando em programação,livros,70.49,1.337819504,11/10/2021,Bruno Rodrigues,SP,3,cartao_credito,3,-22.19,-48.79
549,Geladeira,eletrodomesticos,2448.76,137.9446834272,26/08/2021,João Souza,SP,5,cartao_credito,3,-22.19,-48.79
550,Iniciando em programação,livros,41.11,0.0,01/08/2022,Thiago Silva,ES,1,cartao_credito,1,-19.19,-40.34
551,Ciência de dados com python,livros,53.75,3.1508026105,14/03/2022,João Souza,DF,5,cartao_credito,2,-15.83,-47.86
552,Jogo de copos,utilidades domesticas,37.36,8.534932789,11/02/2020,Beatriz Moraes,RS,4,cartao_credito,4,-30.17,-53.5
553,Jogo de tabuleiro,brinquedos,254.79,14.097905514,23/09/2022,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
554,Faqueiro,utilidades domesticas,72.98,5.2850807932,13/07/2020,Thiago Silva,SP,5,cupom,1,-22.19,-48.79
555,Kit banquetas,moveis,317.7,17.4476737553,27/04/2021,Camila Ribeiro,PE,5,boleto,1,-8.38,-37.86
556,Bola de basquete,esporte e lazer,81.12,5.2592437904,30/09/2022,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
557,Smart TV,eletronicos,1791.98,107.0635722043,29/05/2022,Beatriz Moraes,SP,2,cartao_credito,2,-22.19,-48.79
558,Modelagem preditiva,livros,71.33,4.0812338193,10/07/2021,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
559,Lavadora de roupas,eletrodomesticos,1987.13,103.3931334772,12/10/2021,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
560,Corda de pular,esporte e lazer,10.08,1.0629946648,01/08/2022,Bianca Santos,RJ,1,cartao_credito,1,-22.25,-42.66
561,Guitarra,instrumentos musicais,888.65,50.4817554048,05/02/2023,Beatriz Moraes,SP,3,cartao_debito,1,-22.19,-48.79
562,Xadrez de madeira,brinquedos,41.08,2.4705123235,30/06/2022,Isabella Pereira,SP,4,cartao_credito,1,-22.19,-48.79
563,Bateria,instrumentos musicais,1222.84,62.69699027,02/03/2021,Bianca Santos,SP,4,cartao_credito,3,-22.19,-48.79
564,Cama king,moveis,780.33,42.4386401273,05/08/2022,Beatriz Moraes,SP,5,cartao_credito,2,-22.19,-48.79
565,Bola de basquete,esporte e lazer,39.87,3.0113727299,30/03/2023,Beatriz Moraes,MG,5,boleto,1,-18.1,-44.38
566,Celular ABXY,eletronicos,907.85,48.8665463102,30/09/2020,Bruno Rodrigues,PR,5,cartao_credito,7,-24.89,-51.55
567,Jogo de tabuleiro,brinquedos,268.54,14.582073032,19/12/2020,Beatriz Moraes,PR,5,cartao_credito,10,-24.89,-51.55
568,Geladeira,eletrodomesticos,2927.04,156.5430864326,05/04/2020,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
569,Micro-ondas,eletrodomesticos,829.7,45.0674441024,24/11/2020,Lucas Oliveira,MG,5,cartao_credito,2,-18.1,-44.38
570,Modelagem preditiva,livros,66.38,3.8233121144,05/10/2021,Isabella Pereira,MA,3,cartao_credito,5,-5.42,-45.44
571,Jogo de panelas,utilidades domesticas,280.93,16.6114717014,11/09/2020,Pedro Gomes,MG,5,cartao_credito,6,-18.1,-44.38
572,Bola de vôlei,esporte e lazer,70.14,4.0235208028,09/01/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
573,Celular ABXY,eletronicos,919.52,49.4927782378,27/10/2020,Isabella Pereira,RS,4,cartao_credito,3,-30.17,-53.5
574,Jogo de copos,utilidades domesticas,49.7,3.1774800075,03/04/2021,Juliana Costa,RJ,5,cartao_credito,1,-22.25,-42.66
575,Ciência de dados com python,livros,88.69,7.8862920074,29/01/2020,Lucas Oliveira,ES,5,cartao_credito,1,-19.19,-40.34
576,Tablet ABXY,eletronicos,1685.64,90.6436740894,22/01/2021,Larissa Alves,MA,3,boleto,1,-5.42,-45.44
577,Mochila,esporte e lazer,139.99,5.03848542,12/02/2020,Camila Ribeiro,RJ,4,cartao_credito,8,-22.25,-42.66
578,Smart TV,eletronicos,1521.01,81.8776218629,03/10/2021,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
579,Boneca bebê,brinquedos,73.75,4.4580701554,14/12/2021,Thiago Silva,SP,4,boleto,1,-22.19,-48.79
580,Blocos de montar,brinquedos,50.12,0.0,12/08/2020,Felipe Santos,RS,5,cartao_credito,14,-30.17,-53.5
581,Fone de ouvido,eletronicos,65.34,3.7679352431,21/02/2022,Beatriz Moraes,RJ,3,cartao_credito,1,-22.25,-42.66
582,Xadrez de madeira,brinquedos,38.18,0.0,30/03/2020,João Souza,RJ,4,cartao_credito,4,-22.25,-42.66
583,Blocos de montar,brinquedos,45.1,0.0,28/03/2022,Bruno Rodrigues,ES,4,cartao_credito,3,-19.19,-40.34
584,Celular Plus X42,eletronicos,2664.27,142.7527774753,14/03/2021,Camila Ribeiro,DF,5,cartao_credito,4,-15.83,-47.86
585,Assistente virtual,eletronicos,307.0,13.9312654865,07/07/2022,Pedro Gomes,PR,5,cartao_credito,2,-24.89,-51.55
586,Poltrona,moveis,359.81,19.6850650358,03/07/2020,Larissa Alves,RJ,4,cartao_credito,1,-22.25,-42.66
587,Cômoda,moveis,434.39,23.4130865882,16/07/2021,Isabella Pereira,SP,5,cartao_credito,10,-22.19,-48.79
588,Micro-ondas,eletrodomesticos,1071.07,58.4303706356,06/03/2021,Thiago Silva,SP,3,cartao_credito,10,-22.19,-48.79
589,Cubo mágico 8x8,brinquedos,24.03,0.0,18/07/2022,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
590,Blocos de montar,brinquedos,55.92,3.5038367596,18/07/2021,Pedro Gomes,RJ,5,boleto,1,-22.25,-42.66
591,Celular ABXY,eletronicos,957.56,51.5182937981,18/03/2023,Bianca Santos,PE,5,cartao_credito,1,-8.38,-37.86
592,Bola de vôlei,esporte e lazer,57.54,0.0,10/10/2020,Lucas Oliveira,PE,4,cartao_credito,6,-8.38,-37.86
593,Jogo de tabuleiro,brinquedos,156.21,5.9021516236,30/05/2021,Larissa Alves,RN,5,cartao_credito,5,-5.81,-36.59
594,Tablet ABXY,eletronicos,2200.81,114.7709506414,29/12/2020,Thiago Silva,GO,1,boleto,1,-15.98,-49.86
595,Tablet ABXY,eletronicos,1333.22,68.5743932024,11/09/2021,Bruno Rodrigues,MG,5,boleto,1,-18.1,-44.38
596,Corda de pular,esporte e lazer,17.86,1.2341171786,06/02/2020,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
597,Cama box,moveis,670.63,36.2352949638,08/10/2021,Larissa Alves,PR,5,cartao_credito,3,-24.89,-51.55
598,Jogo de tabuleiro,brinquedos,178.9,10.0569913217,22/05/2022,João Souza,MG,5,cartao_credito,6,-18.1,-44.38
599,Cama king,moveis,636.58,31.4804089768,12/02/2020,João Souza,RN,5,cartao_credito,4,-5.81,-36.59
600,Cubo mágico 8x8,brinquedos,27.64,7.7136822343,13/06/2022,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
601,Copo térmico,esporte e lazer,78.5,4.4686656525,20/03/2020,Thiago Silva,SP,5,cupom,1,-22.19,-48.79
602,Impressora,eletronicos,310.71,17.075477284,21/06/2022,Juliana Costa,MG,5,cartao_credito,1,-18.1,-44.38
603,Bola de basquete,esporte e lazer,46.84,0.0,24/03/2021,Pedro Gomes,MS,1,cartao_credito,4,-20.51,-54.54
604,Faqueiro,utilidades domesticas,63.08,0.0,22/05/2022,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
605,Bola de basquete,esporte e lazer,80.53,4.571106142,27/07/2022,Bruno Rodrigues,SP,1,boleto,1,-22.19,-48.79
606,Bateria,instrumentos musicais,976.53,52.6842968541,27/07/2022,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
607,Cubo mágico 8x8,brinquedos,25.97,0.0,09/04/2020,Pedro Gomes,RS,5,cartao_credito,3,-30.17,-53.5
608,Guitarra,instrumentos musicais,1253.77,67.2857456432,14/12/2020,Felipe Santos,SP,3,cartao_credito,2,-22.19,-48.79
609,TV Led UHD 4K,eletronicos,2909.93,155.233795068,08/12/2022,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
610,Impressora,eletronicos,382.19,20.6335936269,26/02/2022,Lucas Oliveira,PR,5,cartao_credito,3,-24.89,-51.55
611,Iniciando em programação,livros,56.9,3.560858347,01/07/2021,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79
612,Headset,eletronicos,144.76,7.9911604122,15/05/2020,Camila Ribeiro,SP,5,cartao_credito,2,-22.19,-48.79
613,Cubo mágico 8x8,brinquedos,19.23,1.5550441735,28/07/2022,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
614,Assistente virtual,eletronicos,374.57,20.2278515509,19/12/2021,Rafael Costa,RJ,1,cartao_credito,3,-22.25,-42.66
615,Fogão,eletrodomesticos,1364.3,73.1711356244,14/01/2023,Larissa Alves,SP,1,cartao_credito,10,-22.19,-48.79
616,Smart TV,eletronicos,2211.99,118.4688250917,27/11/2022,Thiago Silva,RS,5,boleto,1,-30.17,-53.5
617,Lava louças,eletrodomesticos,1344.01,71.8532659876,27/12/2021,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
618,Corda de pular,esporte e lazer,19.51,0.0,04/11/2021,Thiago Silva,SP,5,cartao_credito,6,-22.19,-48.79
619,Corda de pular,esporte e lazer,19.45,4.1994703093,17/09/2021,Thiago Silva,MS,1,cartao_credito,1,-20.51,-54.54
620,Cama king,moveis,1186.14,63.6894911372,21/07/2021,Isabella Pereira,RJ,5,cartao_credito,1,-22.25,-42.66
